,Word,Length,Freq_HAL,Log_Freq_HAL,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy
6149,clamped,7,689,6.54,784.34,2.259887005649718,330.97,32.0,1.0
6150,clamping,8,441,6.09,715.68,2.5988700564971756,169.94,28.0,0.93
6151,clamps,6,865,6.76,692.61,2.0056497175141246,193.17,33.0,0.97
6152,clams,5,675,6.51,655.13,1.4689265536723166,224.61,32.0,0.97
6153,clamshell,9,53,3.97,866.32,3.898305084745763,217.94,28.0,0.82
6154,clan,4,4149,8.33,857.07,3.3898305084745766,489.88,28.0,0.85
6155,clandestine,11,910,6.81,718.72,3.0790960451977405,196.33,18.0,0.55
6156,clang,5,275,5.62,739.64,2.288135593220339,366.15,25.0,0.74
6157,clanged,7,14,2.64,832.17,3.3050847457627124,250.29,18.0,0.51
6158,clank,5,88,4.48,746.29,2.994350282485876,242.06,28.0,0.82
6159,clanking,8,68,4.22,716.08,2.2316384180790965,267.99,26.0,0.79
6160,clannish,8,17,2.83,969.73,4.915254237288136,300.66,15.0,0.45
6161,clannishness,12,9,2.2,1059.57,6.101694915254238,458.63,7.0,0.22
6162,clansman,8,24,3.18,1015.45,4.661016949152542,431.59,20.0,0.59
6163,clap,4,932,6.84,612.24,1.2711864406779667,259.09,34.0,1.0
6164,clapboard,9,19,2.94,715.22,2.6553672316384187,193.48,27.0,0.79
6165,clapped,7,221,5.4,619.7,1.0734463276836161,156.14,33.0,0.97
6166,clapper,7,136,4.91,700.81,2.175141242937854,203.77,31.0,0.94
6167,clapperboard,12,2,0.69,992.8,5.197740112994351,373.26,20.0,0.69
6168,clapping,8,484,6.18,657.85,1.7231638418079098,236.72,33.0,0.97
6169,claps,5,127,4.84,700.1,1.7514124293785316,361.17,30.0,0.94
6170,claptrap,8,280,5.63,689.18,2.5706214689265536,162.64,11.0,0.39
6171,Clara,5,8010,8.99,694.07,2.175141242937854,200.48,30.0,0.91
6172,Clare,5,903,6.81,842.08,3.050847457627119,307.87,26.0,0.81
6173,Clarence,8,1663,7.42,692.14,2.288135593220339,176.3,28.0,0.9
6174,clarification,13,2736,7.91,716.32,2.4858757062146895,179.57,34.0,0.97
6175,clarified,9,1304,7.17,763.56,2.740112994350283,323.45,34.0,1.0
6176,clarifies,9,453,6.12,863.78,3.474576271186441,372.09,32.0,0.94
6177,clarify,7,5776,8.66,637.37,1.3841807909604522,171.24,30.0,0.97
6178,clarifying,10,779,6.66,761.71,2.6271186440677967,334.32,34.0,1.0
6179,clarinet,8,1634,7.4,802.35,2.740112994350283,236.81,31.0,0.94
6180,clarity,7,3068,8.03,695.41,1.9774011299435033,236.18,34.0,0.97
6181,Clark,5,13918,9.54,629.79,1.4971751412429382,164.36,33.0,0.97
6182,Clark's,7,620,6.43,674.18,1.8361581920903958,217.18,34.0,1.0
6183,clash,5,4179,8.34,584.76,1.4124293785310738,148.22,33.0,1.0
6184,clashed,7,326,5.79,744.24,2.259887005649718,313.49,33.0,0.97
6185,clashes,7,885,6.79,730.62,2.033898305084746,328.3,34.0,0.97
6186,clasp,5,409,6.01,717.79,2.0621468926553677,263.22,33.0,0.97
6187,clasped,7,352,5.86,674.1,2.5988700564971756,196.43,30.0,0.91
6188,clasping,8,161,5.08,801.32,3.3050847457627124,435.35,28.0,0.85
6189,class,5,94260,11.45,570.55,0.6779661016949154,208.53,33.0,1.0
6190,classed,7,421,6.04,773.62,2.2316384180790965,372.21,26.0,0.79
6191,classes,7,24190,10.09,738.03,2.1186440677966107,312.12,33.0,0.94
6192,classic,7,26905,10.2,604.28,0.7344632768361583,224.91,32.0,1.0
6193,classical,9,12132,9.4,636.97,1.2711864406779667,276.68,31.0,1.0
6194,classicalism,12,0,0.0,948.65,4.830508474576272,345.5,20.0,0.65
6195,classicism,10,27,3.3,887.57,3.7853107344632777,447.53,23.0,0.79
6196,classicist,10,34,3.53,860.65,4.237288135593221,354.81,20.0,0.63
6197,classics,8,4488,8.41,704.25,1.7514124293785316,251.99,32.0,0.97
6198,classiest,9,65,4.17,890.22,4.1807909604519775,264.11,23.0,0.72
6199,classifiable,12,38,3.64,1083.61,4.576271186440678,645.99,28.0,0.88
6200,classification,14,3895,8.27,750.77,1.8926553672316389,255.85,35.0,1.0
6201,classifications,15,807,6.69,787.91,3.0790960451977405,262.93,32.0,0.97
6202,classificatory,14,6,1.79,1027.53,5.338983050847458,352.29,17.0,0.61
6203,classified,10,6244,8.74,751.94,2.1186440677966107,323.46,34.0,0.97
6204,classifiers,11,57,4.04,786.29,3.1355932203389836,278.99,31.0,0.91
6205,classify,8,1700,7.44,572.43,0.9887005649717517,93.8,35.0,1.0
6206,classifying,11,342,5.83,637.97,1.7514124293785316,163.8,34.0,0.97
6207,classless,9,179,5.19,868.69,3.418079096045198,421.15,26.0,0.81
6208,classmate,9,372,5.92,679.56,1.6384180790960456,249.83,34.0,1.0
6209,classmates,10,946,6.85,656.0,1.4971751412429382,253.8,32.0,1.0
6210,classroom,9,4309,8.37,578.34,1.1299435028248592,120.26,32.0,1.0
6211,classrooms,10,885,6.79,655.88,1.355932203389831,296.46,34.0,1.0
6212,classy,6,706,6.56,777.8,2.6271186440677967,330.83,30.0,0.94
6213,clatter,7,98,4.58,677.0,2.146892655367232,265.73,29.0,0.88
6214,clattered,9,36,3.58,803.53,3.050847457627119,334.89,30.0,0.94
6215,clattering,10,36,3.58,715.15,2.6553672316384187,197.21,26.0,0.79
6216,clattery,8,3,1.1,874.93,3.5593220338983054,350.74,15.0,0.47
6217,Claude,6,1986,7.59,775.89,2.937853107344633,386.75,27.0,0.82
6218,Claude's,8,75,4.32,747.18,2.175141242937854,285.66,33.0,0.97
6219,Claudia's,9,66,4.19,665.53,2.0621468926553677,176.72,30.0,0.94
6220,Claus,5,1818,7.51,793.42,2.5423728813559325,228.35,24.0,0.73
6221,clause,6,6673,8.81,729.32,2.288135593220339,206.6,31.0,0.91
6222,clauses,7,1175,7.07,716.76,2.3728813559322037,197.04,34.0,1.0
6223,claustrophobia,14,87,4.47,959.21,4.7457627118644075,381.66,29.0,0.94
6224,claustrophobic,14,122,4.8,927.78,4.7740112994350286,354.91,27.0,0.84
6225,clavichord,10,46,3.83,949.67,5.423728813559324,366.98,9.0,0.26
6226,clavicle,8,48,3.87,897.58,3.4463276836158196,261.22,26.0,0.84
6227,claw,4,2194,7.69,620.94,1.186440677966102,190.45,31.0,0.94
6228,clawed,6,516,6.25,682.84,1.6384180790960456,188.73,31.0,0.94
6229,clawing,7,243,5.49,678.06,2.1186440677966107,209.39,32.0,0.94
6230,claws,5,2388,7.78,667.91,1.9491525423728817,230.11,33.0,1.0
6231,clay,4,10797,9.29,581.38,0.8192090395480232,190.89,32.0,1.0
6232,clean,5,36257,10.5,582.83,0.7062146892655369,172.49,35.0,1.0
6233,cleaned,7,4544,8.42,628.03,1.6384180790960456,196.8,34.0,1.0
6234,cleaner,7,4136,8.33,650.58,1.3841807909604522,339.78,33.0,1.0
6235,cleaners,8,896,6.8,713.44,1.7796610169491527,271.93,34.0,1.0
6236,cleaning,8,9555,9.16,639.18,1.355932203389831,212.67,34.0,1.0
6237,cleanly,7,1158,7.05,642.24,1.5254237288135597,235.15,34.0,1.0
6238,cleans,6,752,6.62,611.06,1.0169491525423733,182.71,32.0,1.0
6239,cleanse,7,1662,7.42,823.88,3.1638418079096047,440.66,25.0,0.76
6240,cleansed,8,483,6.18,775.23,2.7683615819209044,299.04,35.0,1.0
6241,cleansing,9,3097,8.04,689.47,1.9774011299435033,232.87,34.0,0.97
6242,cleanup,7,1408,7.25,766.53,2.344632768361582,370.4,32.0,0.94
6243,cleanups,8,99,4.6,688.91,2.4858757062146895,152.27,33.0,0.97
6244,clear,5,77302,11.26,552.82,0.4519774011299438,115.04,33.0,0.97
6245,clearance,9,4849,8.49,625.45,1.610169491525424,133.08,33.0,0.97
6246,cleared,7,5457,8.6,629.17,1.4406779661016953,144.39,29.0,0.94
6247,clearer,7,2678,7.89,695.03,1.7231638418079098,257.05,30.0,0.88
6248,clearing,8,4305,8.37,616.78,1.4971751412429382,186.61,32.0,0.94
6249,clearinghouse,13,1642,7.4,835.41,3.7005649717514126,294.87,32.0,0.94
6250,clearly,7,38947,10.57,642.55,1.4124293785310738,230.58,31.0,0.94
6251,clearness,9,39,3.66,684.15,1.7514124293785316,297.53,33.0,0.97
6252,clears,6,4782,8.47,611.16,1.2146892655367236,192.87,31.0,0.91
6253,Clearwater,10,988,6.9,745.16,2.68361581920904,215.2,32.0,0.97
6254,cleat,5,357,5.88,870.58,3.7853107344632777,221.48,19.0,0.58
6255,cleavage,8,707,6.56,655.97,1.4124293785310738,199.51,34.0,1.0
6256,cleave,6,192,5.26,687.35,2.1186440677966107,199.17,26.0,0.87
6257,cleaved,7,169,5.13,801.71,2.4011299435028253,435.38,28.0,0.82
6258,cleaver,7,432,6.07,781.13,3.3050847457627124,257.32,31.0,0.94
6259,clef,4,161,5.08,845.76,3.2203389830508478,258.85,17.0,0.5
6260,cleft,5,385,5.95,796.96,2.6271186440677967,254.09,27.0,0.77
6261,clefts,6,8,2.08,790.96,2.6553672316384187,322.23,27.0,0.77
6262,clemency,8,148,5.0,770.46,2.937853107344633,240.51,28.0,0.8
6263,clench,6,269,5.59,694.68,2.146892655367232,267.96,28.0,0.82
6264,clenched,8,767,6.64,761.96,2.8248587570621475,337.62,28.0,0.88
6265,clenches,8,44,3.78,809.17,2.68361581920904,343.89,30.0,0.94
6266,clergy,6,2395,7.78,630.66,1.5819209039548028,148.64,32.0,0.94
6267,clergyman,9,220,5.39,758.94,2.740112994350283,251.51,31.0,0.97
6268,clergyman's,11,6,1.79,865.26,3.6723163841807915,260.48,31.0,0.91
6269,clergymen,9,104,4.64,773.0,2.8531073446327686,261.27,32.0,0.97
6270,cleric,6,900,6.8,844.61,3.1920903954802267,350.29,23.0,0.72
6271,clerical,8,713,6.57,782.19,2.8531073446327686,275.32,31.0,0.94
6272,clerk,5,2715,7.91,592.44,0.9604519774011305,186.82,32.0,0.94
6273,clerking,8,28,3.33,903.32,3.6440677966101696,347.08,28.0,0.85
6274,clerks,6,901,6.8,591.85,0.7344632768361583,173.94,33.0,0.97
6275,clerk's,7,94,4.54,648.33,1.610169491525424,207.08,33.0,1.0
6276,Cleveland,9,8519,9.05,733.5,2.146892655367232,300.79,34.0,1.0
6277,clever,6,7601,8.94,604.48,1.2146892655367236,167.33,33.0,0.97
6278,cleverly,8,919,6.82,732.33,2.68361581920904,335.18,33.0,0.94
6279,cleverness,10,251,5.53,692.94,2.4011299435028253,199.03,34.0,1.0
6280,cliche,6,1374,7.23,827.69,2.711864406779662,383.61,29.0,0.88
6281,cliches,7,667,6.5,758.97,2.5988700564971756,344.49,29.0,0.91
6282,click,5,20057,9.91,670.26,1.1299435028248592,275.79,35.0,1.0
6283,clicked,7,1726,7.45,649.58,1.6384180790960456,218.73,33.0,0.97
6284,clicking,8,3709,8.22,694.0,2.1186440677966107,246.79,33.0,1.0
6285,clicks,6,1575,7.36,666.97,1.610169491525424,205.55,32.0,1.0
6286,client,6,68130,11.13,610.68,1.1016949152542377,196.42,34.0,1.0
6287,clientele,9,747,6.62,1076.7,5.028248587570622,484.01,20.0,0.61
6288,clients,7,33929,10.43,691.18,1.666666666666667,236.37,33.0,1.0
6289,client's,8,2193,7.69,664.61,1.610169491525424,244.69,33.0,0.97
6290,cliff,5,5132,8.54,622.91,1.2711864406779667,204.69,33.0,0.97
6291,cliffhanger,11,325,5.78,738.91,2.4576271186440684,298.64,33.0,1.0
6292,cliffhanging,12,2,0.69,813.06,3.1073446327683616,343.69,31.0,0.94
6293,cliffs,6,1406,7.25,678.0,1.8644067796610175,249.9,31.0,0.94
6294,climactic,9,202,5.31,881.12,3.6723163841807915,446.6,26.0,0.81
6295,climate,7,6910,8.84,603.88,1.2146892655367236,154.52,34.0,0.97
6296,climates,8,743,6.61,716.47,2.3728813559322037,290.72,34.0,1.0
6297,climatology,11,268,5.59,978.42,5.734463276836159,319.7,19.0,0.7
6298,climax,6,2460,7.81,623.72,1.2146892655367236,136.1,32.0,0.97
6299,climaxed,8,253,5.53,730.03,2.4576271186440684,158.56,30.0,0.91
6300,climaxes,8,133,4.89,789.28,2.937853107344633,243.11,32.0,1.0
6301,climb,5,6144,8.72,569.83,0.8192090395480232,206.59,30.0,0.91
6302,climbed,7,2312,7.75,640.66,1.2429378531073452,180.75,32.0,1.0
6303,climbing,8,5863,8.68,614.61,1.3276836158192094,133.35,33.0,1.0
6304,climbs,6,1277,7.15,629.03,1.2429378531073452,182.23,32.0,0.97
6305,clime,5,58,4.06,786.43,3.5593220338983054,297.19,14.0,0.41
6306,climes,6,117,4.76,666.83,2.2316384180790965,216.28,12.0,0.39
6307,clinch,6,338,5.82,762.1,2.6553672316384187,332.76,30.0,0.94
6308,clinched,8,163,5.09,790.61,2.4011299435028253,311.74,31.0,0.94
6309,clincher,8,222,5.4,758.72,3.1920903954802267,268.71,29.0,0.88
6310,clinches,8,55,4.01,820.48,2.9096045197740117,375.6,33.0,1.0
6311,cling,5,1220,7.11,622.81,1.6384180790960456,244.79,32.0,0.94
6312,clinging,8,893,6.79,736.79,2.146892655367232,232.19,33.0,0.97
6313,clings,6,205,5.32,744.39,2.7683615819209044,294.3,31.0,0.94
6314,clingy,6,106,4.66,860.63,3.3898305084745766,410.53,30.0,0.88
6315,clinic,6,4499,8.41,713.91,1.8644067796610175,344.74,34.0,1.0
6316,clinical,8,8913,9.1,679.5,1.9774011299435033,213.37,34.0,1.0
6317,clinically,10,496,6.21,832.17,3.2203389830508478,324.02,30.0,0.91
6318,clinics,7,2151,7.67,660.76,1.8079096045197742,217.65,33.0,0.97
6319,clinked,7,13,2.56,751.2,2.4011299435028253,234.97,25.0,0.76
6320,Clinton,7,35767,10.48,677.92,1.666666666666667,204.8,36.0,1.0
6321,clip,4,7281,8.89,613.23,1.2711864406779667,181.8,35.0,1.0
6322,clipboard,9,1977,7.59,658.03,1.8079096045197742,173.99,31.0,0.94
6323,clipped,7,1731,7.46,671.36,1.5536723163841812,252.17,33.0,0.97
6324,clipper,7,4113,8.32,635.3,1.1299435028248592,171.96,33.0,0.97
6325,clippers,8,652,6.48,689.47,1.9774011299435033,281.63,34.0,1.0
6326,clippings,9,587,6.38,729.81,2.3163841807909606,261.67,31.0,0.94
6327,clips,5,5201,8.56,588.78,1.0734463276836161,175.46,32.0,0.97
6328,clique,6,643,6.47,696.52,2.3728813559322037,221.55,27.0,0.9
6329,cliques,7,155,5.04,783.19,2.9661016949152548,235.15,32.0,0.94
6330,clitoris,8,1933,7.57,827.0,3.7005649717514126,317.83,30.0,0.91
6331,cloak,5,3969,8.29,731.38,2.2316384180790965,288.92,29.0,0.88
6332,cloakroom,9,19,2.94,818.63,3.6158192090395485,298.66,27.0,0.82
6333,cloakrooms,10,6,1.79,1045.1,5.56497175141243,320.12,21.0,0.66
6334,clobber,7,418,6.04,766.39,2.711864406779662,237.52,28.0,0.88
6335,clobbered,9,282,5.64,798.5,3.050847457627119,325.98,34.0,0.92
6336,clobbers,8,52,3.95,822.96,3.84180790960452,264.43,24.0,0.75
6337,clock,5,24496,10.11,583.84,0.7062146892655369,180.29,32.0,0.97
6338,clocked,7,700,6.55,701.42,1.7514124293785316,206.11,33.0,0.97
6339,clocking,8,327,5.79,710.0,1.9774011299435033,304.0,33.0,0.97
6340,clocks,6,3610,8.19,583.15,1.299435028248588,200.82,33.0,1.0
6341,clockwise,9,952,6.86,702.74,1.9209039548022604,271.97,34.0,1.0
6342,clockwork,9,5703,8.65,663.94,1.6949152542372885,186.9,33.0,0.97
6343,clod,4,192,5.26,723.67,2.4858757062146895,248.0,18.0,0.55
6344,cloddishness,12,0,0.0,1114.5,6.242937853107344,268.15,10.0,0.32
6345,clodhopper,10,2,0.69,966.53,5.028248587570622,332.88,15.0,0.47
6346,clodhoppers,11,3,1.1,927.06,5.028248587570622,175.08,17.0,0.55
6347,clods,5,97,4.57,711.92,2.9096045197740117,294.6,13.0,0.41
6348,clog,4,836,6.73,653.79,2.033898305084746,162.44,29.0,0.85
6349,clogged,7,653,6.48,715.91,2.175141242937854,160.2,32.0,0.94
6350,clogging,8,634,6.45,727.13,2.1186440677966107,296.94,30.0,0.91
6351,cloister,8,166,5.11,779.26,2.9096045197740117,231.76,19.0,0.56
6352,cloisters,9,47,3.85,784.13,3.84180790960452,164.95,23.0,0.68
6353,clone,5,62986,11.05,623.34,1.4689265536723166,140.79,32.0,0.97
6354,clop,4,28,3.33,853.77,3.587570621468927,261.89,13.0,0.39
6355,close,5,84927,11.35,542.71,0.5367231638418082,140.99,34.0,1.0
6356,closed,6,27658,10.23,616.77,1.0451977401129948,243.07,31.0,0.97
6357,closefisted,11,0,0.0,1348.58,7.203389830508476,537.21,12.0,0.38
6358,closely,7,13969,9.54,729.0,1.6949152542372885,355.74,34.0,1.0
6359,closeness,9,634,6.45,705.15,1.9209039548022604,306.93,33.0,1.0
6360,closeout,8,394,5.98,722.26,2.8813559322033906,189.57,34.0,0.97
6361,closer,6,18665,9.83,550.75,0.9887005649717517,163.04,32.0,0.97
6362,closes,6,2719,7.91,709.93,2.259887005649718,288.26,30.0,0.91
6363,closest,7,7916,8.98,820.44,2.796610169491526,401.68,32.0,0.97
6364,closet,6,5258,8.57,668.66,1.9209039548022604,206.08,32.0,1.0
6365,closeted,8,290,5.67,917.63,4.7175141242937855,282.76,16.0,0.47
6366,closets,7,460,6.13,656.07,1.5254237288135597,248.38,30.0,0.91
6367,closeup,7,361,5.89,689.48,2.0621468926553677,202.12,33.0,1.0
6368,closeups,8,128,4.85,881.67,3.4463276836158196,306.94,30.0,0.97
6369,closing,7,11371,9.34,590.74,1.0451977401129948,186.15,34.0,1.0
6370,closure,7,1869,7.53,651.73,1.4124293785310738,222.98,30.0,0.94
6371,clot,4,271,5.6,660.68,2.146892655367232,196.21,31.0,0.94
6372,cloth,5,11191,9.32,629.12,1.5536723163841812,193.92,34.0,0.97
6373,clothbound,10,27,3.3,1149.19,5.536723163841808,519.64,16.0,0.48
6374,clothe,6,214,5.37,879.96,3.418079096045198,368.69,24.0,0.77
6375,clothed,7,919,6.82,709.06,1.8644067796610175,176.0,31.0,0.91
6376,clothes,7,14338,9.57,552.58,0.6497175141242939,111.47,33.0,1.0
6377,clothesbasket,13,0,0.0,1123.48,4.830508474576272,425.59,29.0,0.94
6378,clothesbrush,12,0,0.0,1154.3,6.242937853107344,346.57,23.0,0.74
6379,clotheshorse,12,2,0.69,1021.19,4.830508474576272,383.96,16.0,0.67
6380,clothesline,11,353,5.87,819.26,3.7005649717514126,274.1,31.0,0.91
6381,clotheslines,12,48,3.87,939.81,5.197740112994351,307.07,27.0,0.87
6382,clothespin,10,151,5.02,965.96,4.435028248587571,493.69,24.0,0.73
6383,clothier,8,28,3.33,878.73,2.9096045197740117,516.81,15.0,0.47
6384,clothing,8,10044,9.21,586.36,1.0734463276836161,145.78,33.0,0.97
6385,clotted,7,48,3.87,760.56,2.514124293785311,225.85,32.0,0.94
6386,cloud,5,6301,8.75,576.79,0.7344632768361583,130.41,34.0,1.0
6387,cloudbank,9,2,0.69,869.45,3.333333333333334,368.52,29.0,0.81
6388,cloudburst,10,25,3.22,928.26,4.011299435028249,274.15,27.0,0.9
6389,clouded,7,433,6.07,661.13,1.7231638418079098,287.23,32.0,0.94
6390,cloudless,9,76,4.33,674.18,1.9491525423728817,239.83,33.0,1.0
6391,clouds,6,4193,8.34,608.85,1.299435028248588,166.95,34.0,0.97
6392,cloudy,6,1046,6.95,566.48,1.0451977401129948,103.36,31.0,0.94
6393,clout,5,788,6.67,751.27,2.1186440677966107,274.03,22.0,0.65
6394,clove,5,511,6.24,704.1,2.175141242937854,214.46,31.0,0.91
6395,clover,6,694,6.54,668.82,1.8361581920903958,258.68,28.0,0.93
6396,cloverleaf,10,45,3.81,909.1,3.7853107344632777,479.57,29.0,0.91
6397,cloves,6,926,6.83,721.06,2.175141242937854,301.97,32.0,0.91
6398,clown,5,2761,7.92,630.82,1.4971751412429382,203.44,33.0,0.97
6399,clowning,8,89,4.49,688.97,1.666666666666667,283.57,32.0,1.0
6400,clowns,6,1126,7.03,623.85,1.1016949152542377,161.15,34.0,1.0
6401,clown's,7,50,3.91,655.97,1.4689265536723166,382.26,33.0,1.0
6402,club,4,63264,11.06,547.03,0.5367231638418082,177.86,34.0,1.0
6403,clubbed,7,86,4.45,747.39,2.711864406779662,302.9,28.0,0.85
6404,clubfoot,8,34,3.53,857.56,3.6158192090395485,262.23,25.0,0.78
6405,clubhouse,9,443,6.09,659.09,1.7796610169491527,189.16,34.0,1.0
6406,clubrooms,9,4,1.39,856.22,3.813559322033899,262.78,18.0,0.56
6407,clubs,5,14924,9.61,565.0,0.9604519774011305,122.71,33.0,0.97
6408,club's,6,757,6.63,641.06,1.5536723163841812,280.85,33.0,1.0
6409,cluck,5,130,4.87,722.92,2.4011299435028253,450.91,24.0,0.77
6410,clucked,7,16,2.77,733.93,2.711864406779662,246.63,27.0,0.79
6411,clucking,8,54,3.99,750.12,2.9661016949152548,153.28,26.0,0.81
6412,clucks,6,23,3.14,712.58,2.740112994350283,200.62,24.0,0.73
6413,clue,4,17913,9.79,585.91,0.7909604519774016,183.12,35.0,1.0
6414,clueless,8,5243,8.56,619.85,1.5254237288135597,165.94,33.0,1.0
6415,clues,5,4765,8.47,630.72,1.0451977401129948,338.06,32.0,0.94
6416,clump,5,454,6.12,695.78,2.288135593220339,230.81,32.0,0.91
6417,clumps,6,330,5.8,747.07,2.0056497175141246,295.73,29.0,0.94
6418,clumsily,8,207,5.33,846.76,3.3615819209039555,272.63,33.0,0.97
6419,clumsy,6,1382,7.23,702.52,1.7796610169491527,373.85,33.0,0.97
6420,clung,5,478,6.17,825.69,3.050847457627119,312.71,26.0,0.76
6421,clunk,5,186,5.23,793.74,2.937853107344633,280.86,31.0,0.94
6422,cluster,7,7044,8.86,665.72,1.4406779661016953,228.8,32.0,1.0
6423,clustered,9,545,6.3,645.42,1.9491525423728817,183.42,31.0,0.94
6424,clustering,10,466,6.14,749.66,2.146892655367232,333.63,32.0,0.97
6425,clusters,8,2784,7.93,711.0,2.344632768361582,290.1,34.0,1.0
6426,clutch,6,2712,7.91,628.84,1.610169491525424,197.11,31.0,0.97
6427,clutched,8,383,5.95,689.63,1.8926553672316389,222.57,32.0,0.97
6428,clutches,8,540,6.29,697.79,1.9491525423728817,206.06,33.0,0.97
6429,clutching,9,658,6.49,662.16,1.9491525423728817,166.03,32.0,1.0
6430,clutter,7,1435,7.27,639.41,1.186440677966102,281.55,34.0,0.97
6431,cluttered,9,484,6.18,658.0,1.9774011299435033,150.01,32.0,0.97
6432,Clyde,5,1618,7.39,832.45,3.1638418079096047,322.46,31.0,0.94
6433,coach,5,8817,9.08,611.27,1.3276836158192094,220.32,33.0,1.0
6434,coaches,7,2504,7.83,678.73,1.9774011299435033,367.3,33.0,1.0
6435,coaching,8,1950,7.58,677.66,1.9774011299435033,195.59,32.0,0.94
6436,coachman,8,30,3.4,656.15,2.033898305084746,183.11,33.0,0.97
6437,coachmen,8,12,2.48,885.09,3.3615819209039555,381.39,33.0,1.0
6438,coach's,7,130,4.87,645.12,1.3841807909604522,273.82,33.0,1.0
6439,coachwork,9,1,0.0,869.69,3.7288135593220337,289.78,26.0,0.84
6440,coagulant,9,9,2.2,934.94,4.858757062146893,368.7,18.0,0.6
6441,coagulate,9,37,3.61,859.5,3.84180790960452,243.43,16.0,0.48
6442,coagulating,11,15,2.71,912.18,4.237288135593221,406.57,11.0,0.31
6443,coal,4,4838,8.48,608.29,1.0734463276836161,172.72,34.0,0.97
6444,coalesce,8,102,4.62,689.06,3.2203389830508478,131.85,16.0,0.52
6445,coalesced,9,63,4.14,946.07,4.378531073446328,484.3,15.0,0.48
6446,coalescence,11,17,2.83,1031.15,5.254237288135593,453.98,13.0,0.41
6447,coalescent,10,54,3.99,1071.3,5.028248587570622,668.06,10.0,0.33
6448,coalesces,9,7,1.95,956.44,4.1807909604519775,402.03,9.0,0.27
6449,coalface,8,1,0.0,1024.42,5.0,301.11,19.0,0.59
6450,coalfield,9,15,2.71,915.24,4.067796610169491,289.59,21.0,0.62
6451,coalhole,8,0,0.0,848.79,4.661016949152542,301.07,14.0,0.42
6452,coalhouse,9,0,0.0,878.17,3.3898305084745766,371.26,23.0,0.7
6453,coalition,9,7118,8.87,858.36,3.2485875706214697,295.85,28.0,0.8
6454,coalmine,8,81,4.39,1008.54,4.7740112994350286,243.41,24.0,0.75
6455,coals,5,352,5.86,687.61,1.7796610169491527,280.1,33.0,0.94
6456,coarse,6,1296,7.17,633.97,1.7514124293785316,180.89,31.0,0.91
6457,coarsely,8,179,5.19,908.48,3.954802259887006,390.86,31.0,0.91
6458,coarsen,7,2,0.69,1143.4,6.214689265536723,473.58,5.0,0.15
6459,coarsened,9,8,2.08,1015.79,4.830508474576272,507.18,14.0,0.44
6460,coarseness,10,59,4.08,913.15,4.293785310734464,315.13,27.0,0.82
6461,coast,5,22188,10.01,643.5,1.4406779661016953,282.51,32.0,0.94
6462,coastal,7,2107,7.65,656.15,1.6949152542372885,216.73,34.0,0.97
6463,coasted,7,57,4.04,643.83,1.4971751412429382,184.68,29.0,0.94
6464,coaster,7,1595,7.37,669.45,1.8926553672316389,154.84,29.0,0.91
6465,coastguard,10,55,4.01,767.19,2.4858757062146895,220.44,32.0,0.94
6466,coastline,9,485,6.18,738.85,2.514124293785311,282.87,34.0,1.0
6467,coasts,6,434,6.07,595.63,1.299435028248588,184.69,30.0,0.97
6468,coat,4,10295,9.24,688.41,1.610169491525424,321.6,32.0,0.94
6469,coated,6,1972,7.59,681.21,1.5254237288135597,216.53,33.0,0.97
6470,coating,7,2079,7.64,580.42,1.186440677966102,153.53,31.0,0.94
6471,coatings,8,629,6.44,682.35,2.1186440677966107,234.82,34.0,1.0
6472,coats,5,2263,7.72,592.0,1.0734463276836161,172.65,33.0,1.0
6473,coattails,9,81,4.39,963.09,4.971751412429379,389.15,22.0,0.65
6474,coauthor,8,194,5.27,832.67,3.1920903954802267,216.22,15.0,0.45
6475,coax,4,2086,7.64,702.88,1.9209039548022604,214.31,34.0,0.94
6476,coaxed,6,190,5.25,710.0,2.344632768361582,296.92,32.0,0.94
6477,coaxial,7,592,6.38,882.42,3.5028248587570627,336.07,19.0,0.58
6478,coaxing,7,221,5.4,724.32,2.3163841807909606,231.92,28.0,0.88
6479,cob,3,460,6.13,707.14,1.6949152542372885,264.12,29.0,0.85
6480,cobalt,6,429,6.06,744.71,2.259887005649718,206.14,28.0,0.85
6481,cobble,6,121,4.8,773.82,2.8531073446327686,361.62,28.0,0.8
6482,cobbler,7,385,5.95,702.87,1.9774011299435033,287.1,30.0,0.91
6483,cobbler's,9,9,2.2,859.03,3.6158192090395485,315.57,31.0,0.91
6484,cobblestone,11,68,4.22,837.84,3.587570621468927,327.69,31.0,0.94
6485,cobblestones,12,47,3.85,829.29,4.011299435028249,261.22,31.0,0.94
6486,cobra,5,3482,8.16,645.85,1.6949152542372885,169.74,33.0,1.0
6487,cobweb,6,62,4.13,736.71,2.3163841807909606,270.71,28.0,0.85
6488,cobwebs,7,146,4.98,824.5,3.3615819209039555,303.1,26.0,0.79
6489,coca,4,1591,7.37,781.08,2.3728813559322037,389.75,25.0,0.81
6490,cocaine,7,4921,8.5,652.24,1.8079096045197742,232.75,33.0,0.97
6491,coccyx,6,8,2.08,1138.08,5.112994350282487,420.31,12.0,0.34
6492,cochlea,7,40,3.69,883.77,3.813559322033899,335.0,22.0,0.63
6493,cock,4,23323,10.06,628.65,1.4689265536723166,224.04,34.0,1.0
6494,cockatoo,8,271,5.6,852.57,3.813559322033899,290.34,28.0,0.82
